,gain
SolarIrradiation,0.7642768119644177
hourSin,0.09579749481217478
hourCos,0.07610929712197567
yearCos,0.01320801770199897
CloudCover,0.007573731374062356
Humidity,0.00703068180110937
yearSin,0.006755988372169236
Temp,0.006648368297363053
monthCos,0.0062585069141458585
WindSpeed,0.005770817273298564
daySin,0.003949501606542319
dayCos,0.003486394446575602
monthSin,0.0026728694859612834
Rain,0.00046151882820528247
